PLATFORM,3000,745
PLAYER,100,687
COIN,250,690
COIN,300,690
COIN,350,690
COIN,300,505
COIN,350,505
FLYING_PLATFORM,400,555
COIN,400,505
ENEMY,400,695
COIN,450,505
COIN,450,505
COIN,500,690
ENEMY,600,695
DOUBLE_SCORE,600,305
INVINCIBLE_POWER,650,305
FLYING_PLATFORM,700,355
COIN,700,305
COIN,750,305
COIN,800,305
COIN,850,305
ENEMY,800,695
ENEMY,1000,695
COIN,1150,690
ENEMY,1200,695
COIN,1250,690
COIN,1300,505
ENEMY,1400,695
ENEMY,1600,695
DOUBLE_SCORE,1700,690
COIN,1700,505
COIN,1750,505
FLYING_PLATFORM,1800,555
INVINCIBLE_POWER,1800,505
COIN,1850,505
COIN,1750,690
COIN,1800,690
ENEMY,2000,695
ENEMY,2200,695
COIN,2300,690
COIN,2350,690
ENEMY,2500,695
COIN,2600,690
DOUBLE_SCORE,2650,690
ENEMY,2750,695
COIN,2850,690
COIN,2900,690
FLYING_PLATFORM,3200,555
ENEMY,3150,695
ENEMY,3350,695
COIN,3100,505
COIN,3150,505
COIN,3200,505
COIN,3250,505
ENEMY,3350,505
INVINCIBLE_POWER,3300,505
ENEMY,3550,695
COIN,3600,505
COIN,3650,505
COIN,3700,505
ENEMY,3850,695
END_FLAG,4100,670
